protocol_number,protocol,when_aug_performed,aug_type,config/HP_AUG_PER,TP,TN,FP,FN,APCER,BPCER,ACER,EER,AUC,Multi_TP,Multi_TN,Multi_FP,Multi_FN,Multi_APCER,Multi_BPCER,Multi_ACER,Multi_EER,Multi_AUC,config/HP_REPEAT,fold_number
1,Low_Quality,BeforeSplit,GenAugSpoofOnly,0.05,16141.166666666666,4777.5,52.5,14.833333333333334,0.0009181315507138001,0.010869565217391268,0.005893848384052533,0.01076004939083385,0.9941061516159474,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
1,Low_Quality,BeforeSplit,GenAugSpoofOnly,0.1,16142.666666666666,4772.5,57.5,13.333333333333334,0.0008252867871584834,0.011904761904761868,0.006365024345960167,0.011773210866449932,0.9936349756540398,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
1,Low_Quality,BeforeSplit,GenAugSpoofOnly,0.2,16141.333333333334,4770.333333333333,59.666666666666664,14.666666666666666,0.0009078154658743333,0.012353347135955801,0.006630581300915067,0.01221169777642385,0.9933694186990848,90.0,29.833333333333332,0.16666666666666666,0.0,0.0,0.00555555555555555,0.0027777777777777666,0.0053763440860215,0.9972222222222222,1.5,1.0
1,Low_Quality,BeforeSplit,GenAugSpoofOnly,0.3,16143.833333333334,4764.0,66.0,12.166666666666666,0.0007530741932821001,0.013664596273291883,0.007208835233287,0.013486467673168565,0.992791164766713,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,Normal_Quality,BeforeSplit,GenAugSpoofOnly,0.05,15969.166666666666,4992.666666666667,305.3333333333333,283.8333333333333,0.01746344264648575,0.05763181074619348,0.03754762669633962,0.0554061963735718,0.9624523733036604,89.0,28.0,2.0,1.0,0.0111111111111111,0.0666666666666666,0.0388888888888888,0.0631578947368421,0.9611111111111112,1.5,1.0
2,Normal_Quality,BeforeSplit,GenAugSpoofOnly,0.1,15945.5,4994.666666666667,303.3333333333333,307.5,0.018919584076785786,0.05725430980244114,0.03808694693961347,0.055138606109462966,0.9619130530603864,89.0,28.0,2.0,1.0,0.0111111111111111,0.0666666666666666,0.0388888888888888,0.0631578947368421,0.9611111111111112,1.5,1.0
2,Normal_Quality,BeforeSplit,GenAugSpoofOnly,0.2,15987.166666666666,4995.5,302.5,265.8333333333333,0.0163559547980885,0.05709701774254431,0.03672648627031642,0.05486117409598537,0.9632735137296836,89.0,28.0,2.0,1.0,0.0111111111111111,0.0666666666666666,0.0388888888888888,0.0631578947368421,0.9611111111111112,1.5,1.0
2,Normal_Quality,BeforeSplit,GenAugSpoofOnly,0.3,15965.0,4997.0,301.0,288.0,0.01771980557435545,0.05681389203473003,0.03726684880454275,0.05467395475038738,0.9627331511954571,89.0,28.0,2.0,1.0,0.0111111111111111,0.0666666666666666,0.0388888888888888,0.0631578947368421,0.9611111111111112,1.5,1.0
3,High_Quality,BeforeSplit,GenAugSpoofOnly,0.05,17327.833333333332,5776.5,5.5,150.16666666666666,0.008591753442422816,0.0009512279488065999,0.004771490695614717,0.008525059653286166,0.9952285093043853,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
3,High_Quality,BeforeSplit,GenAugSpoofOnly,0.1,17324.666666666668,5779.0,3.0,153.33333333333334,0.008772933592706967,0.0005188516084399334,0.004645892600573433,0.008697994010124617,0.9953541073994265,89.66666666666667,30.0,0.0,0.3333333333333333,0.0037037037037037,0.0,0.0018518518518518335,0.003663003663003633,0.9981481481481481,1.5,1.0
3,High_Quality,BeforeSplit,GenAugSpoofOnly,0.2,17353.0,5776.333333333333,5.666666666666667,125.0,0.00715184803753285,0.0009800530381643667,0.0040659505378486,0.007104237693528116,0.9959340494621512,89.83333333333333,30.0,0.0,0.16666666666666666,0.00185185185185185,0.0,0.0009259259259259167,0.0018315018315018165,0.9990740740740741,1.5,1.0
3,High_Quality,BeforeSplit,GenAugSpoofOnly,0.3,17354.833333333332,5773.5,8.5,123.16666666666667,0.007046954266315717,0.0014700795572465666,0.004258516911781134,0.0070058571894127675,0.9957414830882189,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
4,Warped_Photo_Attack,BeforeSplit,GenAugSpoofOnly,0.05,19174.666666666668,15748.0,162.0,199.33333333333334,0.010288703072846699,0.010182275298554316,0.010235489185700516,0.011043220651821034,0.9897645108142994,90.0,89.16666666666667,0.8333333333333334,0.0,0.0,0.00925925925925925,0.0046296296296296,0.00911769390030255,0.9953703703703703,1.5,1.0
4,Warped_Photo_Attack,BeforeSplit,GenAugSpoofOnly,0.1,19178.666666666668,15742.833333333334,167.16666666666666,195.33333333333334,0.0100822408038264,0.010507018646553484,0.01029462972518995,0.010975835532550183,0.9897053702748101,90.0,88.83333333333333,1.1666666666666667,0.0,0.0,0.012962962962962949,0.006481481481481433,0.012780697563306182,0.9935185185185184,1.5,1.0
4,Warped_Photo_Attack,BeforeSplit,GenAugSpoofOnly,0.2,19162.333333333332,15731.5,178.5,211.66666666666666,0.010925295068992766,0.011219358893777467,0.011072326981385083,0.01181660459242235,0.988927673018615,90.0,88.5,1.5,0.0,0.0,0.01666666666666665,0.0083333333333333,0.01636407071189675,0.9916666666666666,1.5,1.0
4,Warped_Photo_Attack,BeforeSplit,GenAugSpoofOnly,0.3,19183.333333333332,15722.833333333334,187.16666666666666,190.66666666666666,0.009841368156635983,0.011764089671066348,0.010802728913851166,0.01210654496471015,0.9891972710861489,90.0,88.33333333333333,1.6666666666666667,0.0,0.0,0.0185185185185185,0.009259259259259233,0.018155757286192033,0.9907407407407406,1.5,1.0
5,Cut_Photo_Attack,BeforeSplit,GenAugSpoofOnly,0.05,14695.666666666666,15738.166666666666,171.83333333333334,150.33333333333334,0.010126184381876116,0.0108003352189398,0.010463259800407966,0.011336689198516334,0.989536740199592,89.66666666666667,89.0,1.0,0.3333333333333333,0.0037037037037037,0.0111111111111111,0.007407407407407366,0.011029711029710967,0.9925925925925925,1.5,1.0
5,Cut_Photo_Attack,BeforeSplit,GenAugSpoofOnly,0.1,14696.333333333334,15730.5,179.5,149.66666666666666,0.010081278907898818,0.011282212445003083,0.010681745676450966,0.011346222389433532,0.9893182543235489,89.33333333333333,89.0,1.0,0.6666666666666666,0.0074074074074074,0.0111111111111111,0.009259259259259233,0.011070411070411033,0.9907407407407406,1.5,1.0
5,Cut_Photo_Attack,BeforeSplit,GenAugSpoofOnly,0.2,14688.833333333334,15735.166666666666,174.83333333333334,157.16666666666666,0.010586465490143216,0.01098889587261675,0.010787680681379967,0.011897362814134699,0.9892123193186201,89.66666666666667,89.0,1.0,0.3333333333333333,0.0037037037037037,0.0111111111111111,0.007407407407407367,0.011029711029710967,0.9925925925925925,1.5,1.0
5,Cut_Photo_Attack,BeforeSplit,GenAugSpoofOnly,0.3,14701.0,15740.5,169.5,145.0,0.009766940590057884,0.010653676932746665,0.01021030876140225,0.01073278552106375,0.9897896912385976,89.83333333333333,89.0,1.0,0.16666666666666666,0.00185185185185185,0.0111111111111111,0.006481481481481433,0.011009361009360933,0.9935185185185184,1.5,1.0
6,Video_Replay_Attack,BeforeSplit,GenAugSpoofOnly,0.05,15439.5,15574.666666666666,335.3333333333333,227.5,0.014520967638986366,0.021076890844332685,0.0177989292416595,0.020939339262463233,0.9822010707583404,89.0,88.0,2.0,1.0,0.0111111111111111,0.0222222222222222,0.0166666666666666,0.0219780219780219,0.9833333333333334,1.5,1.0
6,Video_Replay_Attack,BeforeSplit,GenAugSpoofOnly,0.1,15461.166666666666,15573.5,336.5,205.83333333333334,0.013138018340035267,0.021150219987429247,0.017144119163732267,0.02098098803569365,0.9828558808362677,89.0,87.83333333333333,2.1666666666666665,1.0,0.0111111111111111,0.02407407407407405,0.017592592592592535,0.0237498009237139,0.9824074074074075,1.5,1.0
6,Video_Replay_Attack,BeforeSplit,GenAugSpoofOnly,0.2,15470.833333333334,15571.0,339.0,196.16666666666666,0.012521010191272467,0.021307353865493334,0.016914182028382935,0.021120022910134848,0.9830858179716171,89.16666666666667,87.83333333333333,2.1666666666666665,0.8333333333333334,0.00925925925925925,0.02407407407407405,0.016666666666666618,0.02370998566650735,0.9833333333333334,1.5,1.0
6,Video_Replay_Attack,BeforeSplit,GenAugSpoofOnly,0.3,15467.333333333334,15571.166666666666,338.8333333333333,199.66666666666666,0.012744409693410735,0.021296878273622397,0.017020643983516565,0.021114904158757514,0.9829793560164833,89.66666666666667,88.0,2.0,0.3333333333333333,0.0037037037037037,0.0222222222222222,0.012962962962962933,0.0218187609491957,0.987037037037037,1.5,1.0
7,All_Categories,BeforeSplit,GenAugSpoofOnly,0.05,49335.833333333336,15635.5,274.5,551.1666666666666,0.011048302496976449,0.017253299811439284,0.014150801154207866,0.0171436683619457,0.9858491988457921,269.3333333333333,88.33333333333333,1.6666666666666667,0.6666666666666666,0.002469135802469133,0.0185185185185185,0.010493827160493801,0.018189182598057067,0.9895061728395063,1.5,1.0
7,All_Categories,BeforeSplit,GenAugSpoofOnly,0.1,49385.833333333336,15636.0,274.0,501.1666666666667,0.010046037377807134,0.017221873035826483,0.013633955206816817,0.0170977476577642,0.9863660447931831,269.6666666666667,88.83333333333333,1.1666666666666667,0.3333333333333333,0.0012345679012345666,0.012962962962962949,0.007098765432098733,0.012794164488537816,0.9929012345679012,1.5,1.0
7,All_Categories,BeforeSplit,GenAugSpoofOnly,0.2,49414.666666666664,15633.0,277.0,472.3333333333333,0.009468064492419484,0.017410433689503416,0.013439249090961433,0.017272524949035948,0.9865607509090385,269.6666666666667,88.83333333333333,1.1666666666666667,0.3333333333333333,0.0012345679012345666,0.012962962962962949,0.007098765432098733,0.012794164488537816,0.9929012345679012,1.5,1.0
7,All_Categories,BeforeSplit,GenAugSpoofOnly,0.3,49435.666666666664,15613.333333333334,296.6666666666667,451.3333333333333,0.009047113142368368,0.0186465535302744,0.013846833336321399,0.01846868554241535,0.9861531666636786,270.0,88.83333333333333,1.1666666666666667,0.0,0.0,0.012962962962962949,0.006481481481481433,0.012780697563306182,0.9935185185185184,1.5,1.0
