,,,,TP,TP,TP,TP,TP,TP,TP,TP,TN,TN,TN,TN,TN,TN,TN,TN,FP,FP,FP,FP,FP,FP,FP,FP,FN,FN,FN,FN,FN,FN,FN,FN,APCER,APCER,APCER,APCER,APCER,APCER,APCER,APCER,BPCER,BPCER,BPCER,BPCER,BPCER,BPCER,BPCER,BPCER,ACER,ACER,ACER,ACER,ACER,ACER,ACER,ACER,EER,EER,EER,EER,EER,EER,EER,EER,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,fold_number,fold_number,fold_number,fold_number,fold_number,fold_number,fold_number,fold_number
,,,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
protocol_number,when_aug_performed,aug_type,config/HP_AUG_PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AfterSplit,TradAugSpoofOnly,0.05,6.0,16136.166666666666,19.020164738157938,16098.0,16141.0,16141.0,16145.5,16149.0,6.0,4758.166666666667,30.426413963309358,4708.0,4747.0,4761.5,4776.75,4794.0,6.0,71.83333333333333,30.426413963309358,36.0,53.25,68.5,83.0,122.0,6.0,19.833333333333332,19.02016473815794,7.0,10.5,15.0,15.0,58.0,6.0,0.0012276140958982832,0.001177281798598534,0.0004332755632582,0.000649913344887325,0.0009284476355533,0.0009284476355533,0.0035899975241396,6.0,0.014872325741890917,0.006299464588676878,0.0074534161490683,0.01102484472049685,0.0141821946169772,0.0171842650103519,0.0252587991718426,6.0,0.008049969918894584,0.0036084683977420586,0.0041909318923108,0.0059302237962473746,0.0074624763627098994,0.008870666795841926,0.0144243983479911,6.0,0.014644806527325466,0.006123803641032708,0.0074050981170153,0.01091337958761095,0.01398909804159275,0.016903018409113027,0.0247230796625152,6.0,0.9919500300811054,0.003608468397742115,0.9855756016520087,0.991129333204158,0.99253752363729,0.9940697762037526,0.9958090681076892,6.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
1,AfterSplit,TradAugSpoofOnly,0.1,6.0,16145.5,1.51657508881031,16144.0,16144.25,16145.5,16146.0,16148.0,6.0,4769.833333333333,13.09070917355766,4750.0,4762.25,4771.5,4780.0,4784.0,6.0,60.166666666666664,13.09070917355766,46.0,50.0,58.5,67.75,80.0,6.0,10.5,1.51657508881031,8.0,10.0,10.5,11.75,12.0,6.0,0.0006499133448873,9.38707036896386e-05,0.0004951720722951,0.0006189650903689,0.0006499133448873,0.000727283981183375,0.0007427581084426,6.0,0.012456866804692867,0.002710291754359779,0.0095238095238095,0.01035196687370595,0.012111801242236,0.014026915113871625,0.0165631469979296,6.0,0.006553390074790083,0.0013270615855119567,0.0051023355616076,0.00550094010929665,0.00642727967533935,0.00733841422937945,0.0085291595351123,6.0,0.012305483109110766,0.0026422959548294154,0.0094403291844422,0.01025203454589315,0.01197539078368395,0.013841087213233275,0.0163012194131419,6.0,0.9934466099252098,0.0013270615855119872,0.9914708404648876,0.9926615857706206,0.9935727203246606,0.9944990598907033,0.9948976644383924,6.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
1,AfterSplit,TradAugSpoofOnly,0.2,6.0,16147.0,2.0976176963403033,16143.0,16147.0,16147.5,16148.0,16149.0,6.0,4750.666666666667,16.53682758774084,4728.0,4741.25,4750.5,4759.0,4775.0,6.0,79.33333333333333,16.536827587740845,55.0,71.0,79.5,88.75,102.0,6.0,9.0,2.0976176963403033,7.0,8.0,8.5,9.0,13.0,6.0,0.0005570685813319833,0.00012983521269745076,0.0004332755632582,0.0004951720722951,0.00052612032681355,0.000557068581332,0.0008046546174795,6.0,0.016425120772946833,0.003423773827689609,0.0113871635610766,0.0146997929606625,0.0164596273291925,0.018374741200828153,0.0211180124223602,6.0,0.008491094677139384,0.0017365211425179213,0.0059411678166858,0.007582008389219575,0.00850834795526225,0.009558749654635351,0.0108065922473276,6.0,0.0161593682468635,0.0033176666612633804,0.0112644710384007,0.0144933651865131,0.01620073843544345,0.01805622591129985,0.0206912990651051,6.0,0.9915089053228607,0.0017365211425179894,0.9891934077526724,0.9904412503453646,0.9914916520447378,0.9924179916107805,0.9940588321833144,6.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
1,AfterSplit,TradAugSpoofOnly,0.3,6.0,16147.333333333334,1.3662601021279464,16146.0,16146.25,16147.0,16148.5,16149.0,6.0,4749.166666666667,13.963046467969182,4725.0,4743.25,4755.5,4758.75,4760.0,6.0,80.83333333333333,13.963046467969182,70.0,71.25,74.5,86.75,105.0,6.0,8.666666666666666,1.3662601021279464,7.0,7.5,9.0,9.75,10.0,6.0,0.0005364364116530333,8.456673075811837e-05,0.0004332755632582,0.00046422381777665,0.000557068581332,0.0006034909631096751,0.0006189650903689,6.0,0.016735679779158016,0.002890899889848701,0.0144927536231884,0.014751552795031025,0.0154244306418219,0.0179606625258799,0.0217391304347826,6.0,0.0086360580954055,0.0014356920739081506,0.0075249111022602,0.0076078883064038,0.00800622373883615,0.00928981380812435,0.0110862029990204,6.0,0.016462233652253418,0.002790553391138045,0.0142935630306671,0.014543758170158676,0.0151986918995667,0.017653212547178124,0.0212856220603154,6.0,0.9913639419045944,0.0014356920739081371,0.9889137970009796,0.9907101861918757,0.9919937762611638,0.9923921116935961,0.9924750888977398,6.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
2,AfterSplit,TradAugSpoofOnly,0.05,6.0,15943.833333333334,54.330163506717575,15857.0,15924.75,15949.0,15966.5,16019.0,6.0,4997.5,7.918333157931662,4989.0,4993.25,4997.0,4997.75,5012.0,6.0,300.5,7.918333157931662,286.0,300.25,301.0,304.75,309.0,6.0,309.1666666666667,54.33016350671759,234.0,286.5,304.0,328.25,396.0,6.0,0.019022129247933662,0.0033427775491735516,0.0143973420291638,0.01762751492032235,0.0187042392173752,0.020196271457577,0.0243647326647388,6.0,0.05671951679879194,0.0014945891200324162,0.0539826349565873,0.05667232918082293,0.05681389203473,0.057521706304265674,0.0583238958097395,6.0,0.037870823023362817,0.001233822904398262,0.0356056170319469,0.03774785301419045,0.03803410559486215,0.03855226936412258,0.0391736838106631,6.0,0.054655310386049934,0.0012434629373475167,0.0524297750033544,0.0545415765112188,0.0546924891863866,0.05537380579185695,0.0560249253269954,6.0,0.962129176976637,0.0012338229043982781,0.9608263161893368,0.9614477306358773,0.9619658944051378,0.9622521469858094,0.964394382968053,6.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
2,AfterSplit,TradAugSpoofOnly,0.1,6.0,15998.5,33.25507480069771,15959.0,15974.0,15995.5,16020.0,16046.0,6.0,4995.166666666667,4.9966655548141965,4990.0,4991.5,4994.0,4998.0,5003.0,6.0,302.8333333333333,4.996665554814197,295.0,300.0,304.0,306.5,308.0,6.0,254.5,33.25507480069771,207.0,233.0,257.5,279.0,294.0,6.0,0.015658647634282864,0.0020460884021840705,0.012736110256568,0.014335814926475076,0.01584322894234905,0.017166061650156852,0.0180889681904879,6.0,0.05715993456650304,0.0009431229812786185,0.055681389203473,0.05662514156285388,0.0573801434503586,0.057852019630049024,0.0581351453378633,6.0,0.03640929110039295,0.0009907377314994303,0.0353412525612775,0.0358107915704478,0.03619716795554215,0.036743868431688496,0.0381120567641756,6.0,0.05488138773763609,0.0008313765076456039,0.0536290474347844,0.05439112925844265,0.055059131116329596,0.05537167661762765,0.0558966963344989,6.0,0.963590708899607,0.00099073773149938,0.9618879432358244,0.9632561315683115,0.9638028320444578,0.964189208429552,0.9646587474387224,6.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
2,AfterSplit,TradAugSpoofOnly,0.2,6.0,16021.833333333334,12.781497043252276,16010.0,16013.0,16020.0,16024.0,16045.0,6.0,4987.333333333333,3.723797345005051,4981.0,4985.75,4988.5,4989.75,4991.0,6.0,310.6666666666667,3.7237973450050514,307.0,308.25,309.5,312.25,317.0,6.0,231.16666666666666,12.781497043252276,208.0,229.0,233.0,240.0,243.0,6.0,0.014223015238212367,0.0007864084810959335,0.0127976373592567,0.0140897065157201,0.01433581492647505,0.014766504645296174,0.0149510859533624,6.0,0.05863847992953311,0.0007028685060409631,0.0579463948659871,0.05818233295583235,0.058418271045677594,0.058937334843337075,0.0598338995847489,6.0,0.03643074758387275,0.00023564367249919024,0.0361124259267917,0.03627706144420715,0.036445866125432505,0.0365822175245772,0.036731866117489,6.0,0.056144152599451304,0.000600970104727382,0.0555380180629334,0.05573513384458545,0.055981466968881455,0.05641909716149768,0.0571459669004883,6.0,0.9635692524161272,0.00023564367249929473,0.9632681338825108,0.9634177824754228,0.9635541338745675,0.963722938555793,0.9638875740732082,6.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
2,AfterSplit,TradAugSpoofOnly,0.3,6.0,16039.5,26.733873643750172,16002.0,16030.25,16032.0,16057.75,16075.0,6.0,4994.833333333333,14.077168275852449,4986.0,4987.25,4990.0,4992.75,5023.0,6.0,303.1666666666667,14.077168275852452,275.0,305.25,308.0,310.75,312.0,6.0,213.5,26.733873643750172,178.0,195.25,221.0,222.75,251.0,6.0,0.01313603642404475,0.001644857788946659,0.0109518242785947,0.01201316679997535,0.013597489694210249,0.013705162123915524,0.0154433027748723,6.0,0.057222851390461765,0.0026570721547475224,0.0519063797659494,0.057616081540203826,0.0581351453378633,0.05865420913552277,0.058890147225368,6.0,0.03517944390725325,0.0011306318756921798,0.0336748412704108,0.034353170899924054,0.03532795536751035,0.0361412311905387,0.0363053455624779,6.0,0.05479999078292438,0.0023738084320019184,0.0500802980040901,0.0550546331759412,0.0555992709222302,0.05612703361430432,0.0563450630768219,6.0,0.9648205560927466,0.001130631875692191,0.963694654437522,0.9638587688094613,0.9646720446324895,0.9656468291000758,0.9663251587295892,6.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
3,AfterSplit,TradAugSpoofOnly,0.05,6.0,17308.333333333332,48.8043713889101,17238.0,17290.75,17299.5,17333.75,17380.0,6.0,5779.166666666667,1.3291601358251257,5777.0,5778.5,5780.0,5780.0,5780.0,6.0,2.8333333333333335,1.3291601358251257,2.0,2.0,2.0,3.5,5.0,6.0,169.66666666666666,48.8043713889101,98.0,144.25,178.5,187.25,240.0,6.0,0.009707441736277933,0.0027923315819264414,0.0056070488614257,0.008253232635312899,0.01021283899759695,0.01071346836022425,0.0137315482320631,6.0,0.0004900265190821833,0.00022987895811572593,0.0003459010722933,0.0003459010722933,0.0003459010722933,0.000605326876513275,0.0008647526807333,6.0,0.005098734127680049,0.0013628168191923023,0.0031494255030062,0.00429956685380305,0.00537949590747055,0.005624128196898325,0.0070387246521782,6.0,0.009612292957198168,0.0027403167543845423,0.0055796236346742,0.0081874774165858,0.01011566440127825,0.010604830939739924,0.0135501704317095,6.0,0.9949012658723199,0.001362816819192302,0.9929612753478216,0.9943758718031017,0.9946205040925293,0.9957004331461967,0.9968505744969938,6.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
3,AfterSplit,TradAugSpoofOnly,0.1,6.0,17349.666666666668,26.7482086627622,17320.0,17329.75,17348.0,17364.0,17389.0,6.0,5776.833333333333,2.3166067138525404,5774.0,5775.25,5776.5,5778.5,5780.0,6.0,5.166666666666667,2.316606713852541,2.0,3.5,5.5,6.75,8.0,6.0,128.33333333333334,26.7482086627622,89.0,114.0,130.0,148.25,158.0,6.0,0.007342563985200417,0.0015303929890583537,0.0050921158027234,0.00652248541023,0.007437921959034199,0.008482091772514001,0.0090399359194415,6.0,0.0008935777700910334,0.0004006583732017425,0.0003459010722933,0.00060532687651325,0.0009512279488065999,0.001167416118989925,0.0013836042891732,6.0,0.0041180708776457,0.0007117469231032423,0.003151384777875,0.0035639061433716,0.0043239613102189,0.004695367589453375,0.0047793937639407,6.0,0.007293409379563299,0.0015090806710883467,0.005072427368393,0.006484119151599325,0.0073909152652986004,0.0084183197420177,0.0089635566970993,6.0,0.9958819291223543,0.0007117469231032605,0.9952206062360592,0.9953046324105466,0.9956760386897812,0.9964360938566283,0.996848615222125,6.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
3,AfterSplit,TradAugSpoofOnly,0.2,6.0,17371.833333333332,40.58776498732921,17318.0,17340.0,17381.5,17407.25,17408.0,6.0,5776.0,2.756809750418044,5771.0,5776.0,5776.0,5777.5,5779.0,6.0,6.0,2.756809750418044,3.0,4.5,6.0,6.0,11.0,6.0,106.16666666666667,40.58776498732921,70.0,70.75,96.5,138.0,160.0,6.0,0.006074302933211233,0.0023222202189797985,0.0040050349010184,0.0040479459892436,0.00552122668497535,0.007895640233436224,0.0091543654880421,6.0,0.0010377032168799002,0.00047679172438914216,0.0005188516084399,0.000778277412659925,0.0010377032168799,0.0010377032168799,0.0019024558976132,6.0,0.0035560030750455504,0.00111299944719262,0.0025213690589491,0.0025428246030617,0.00349565312111095,0.00444505290813975,0.004836608548241,6.0,0.006039175147259233,0.0022939791890048836,0.0039931857942903,0.004035791791363725,0.00549773758835545,0.0078408771971654,0.009075989653419,6.0,0.9964439969249543,0.0011129994471926429,0.9951633914517588,0.9955549470918601,0.996504346878889,0.9974571753969382,0.9974786309410508,6.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
3,AfterSplit,TradAugSpoofOnly,0.3,6.0,17339.666666666668,22.99275248130738,17310.0,17326.25,17335.0,17358.0,17369.0,6.0,5778.666666666667,1.2110601416389968,5777.0,5778.0,5778.5,5779.75,5780.0,6.0,3.3333333333333335,1.2110601416389966,2.0,2.25,3.5,4.0,5.0,6.0,138.33333333333334,22.992752481307377,109.0,120.0,143.0,151.75,168.0,6.0,0.007914711828203032,0.0013155253736873704,0.0062364114887286,0.006865774116031525,0.0081817141549376,0.008682343517564925,0.0096120837624442,6.0,0.0005765017871555,0.0002094535008023189,0.0003459010722933,0.00038913870632995,0.00060532687651325,0.0006918021445866,0.0008647526807333,6.0,0.00424560680767925,0.0006662951963712308,0.003291156280511,0.00377878813030905,0.0043935205157254,0.0047303104651124,0.0049789924173687,6.0,0.007855645945604716,0.001295752625549161,0.006199890966774,0.006823404402953025,0.008119949445533299,0.00861425905035385,0.0095238341750674,6.0,0.9957543931923207,0.0006662951963712872,0.9950210075826312,0.9952696895348874,0.9956064794842745,0.9962212118696909,0.996708843719489,6.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
4,AfterSplit,TradAugSpoofOnly,0.05,6.0,19195.166666666668,20.33142067507007,19171.0,19184.25,19188.5,19208.5,19225.0,6.0,15727.833333333334,15.07868252423489,15708.0,15720.25,15726.0,15734.0,15752.0,6.0,182.16666666666666,15.07868252423489,158.0,176.0,184.0,189.75,202.0,6.0,178.83333333333334,20.33142067507007,149.0,165.5,185.5,189.75,203.0,6.0,0.0092305839441175,0.0010494178112454803,0.0076907195210075,0.008542376380716376,0.0095746877258181,0.00979405388665215,0.010477960152782,6.0,0.011449821914938152,0.000947748744452236,0.0099308610936517,0.011062225015713373,0.0115650534255185,0.011926461345065949,0.0126964173475801,6.0,0.010340202929527816,0.0007309713925179301,0.0095975043370377,0.00970880385091705,0.01023551297665965,0.010969058267973576,0.0112258797793955,6.0,0.011423797698203434,0.0009361838081597048,0.0099255327911913,0.011035656709474501,0.01154865122098965,0.011884242819673273,0.0126591857311794,6.0,0.989659797070472,0.0007309713925178824,0.9887741202206044,0.9890309417320264,0.9897644870233403,0.9902911961490827,0.9904024956629622,6.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,6.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
