trial_id,protocol_number,fold_number,protocol,TN,TP,FN,FP,APCER,BPCER,ACER,EER,EER_Thresh,AUC,Multi_protocol_number,Multi_fold_number,Multi_protocol,Multi_TN,Multi_TP,Multi_FN,Multi_FP,Multi_APCER,Multi_BPCER,Multi_ACER,Multi_EER,Multi_EER_Thresh,Multi_AUC,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config/HP_COMB,config/must_remove_normal,config/epochs,config/save_metrics_root,config/save_checkpoints_root,config/save_tb_root,config/dataset_root,config/dataset_name,config/dataset_csv_name,config/aug_root,config/aug_csv,config/train_subject_number,config/test_subject_number,config/get_train_frame_func,config/get_protocol_frame_dic_func,config/is_ray,config/get_stratified_name_col_func,config/process_dataset_metrics_func,config/stratified_name_list_func,config/n_folds,config/current_fold,config/HP_REPEAT,config/original_dataset_root,config/use_last_only,config/include_traditional_aug,config/aug_after_split,config/mode_info,config/must_use_normal_only,config/HP_AUG_PER
970c5_00000,2,0,LOO_SGS8,8770,900,0,612,0.0,0.06523129396717117,0.032615646983585586,0.061236742045227124,1.061236742045227,0.9673843530164143,2,0,LOO_SGS8,8,2,0,0,0.0,0.0,0.0,0.0,1.0,1.0,4277.042411565781,True,,,1,faac9a6483364bd598d65ecfff8365f9,2022-09-10_18-20-58,1662826858,4277.042411565781,49820,bigboi,192.168.0.26,4277.042411565781,0,1,0.002250194549560547,"0_HP_AUG_PER=0,HP_COMB=A_ASUS-IP7P-IPP2017_A_N,HP_REPEAT=1,current_fold=0","A@ASUS-IP7P-IPP2017,A@N",False,70,/home/jarred/Documents/SavedAntispoofing/SIW_90_Baseline/BeforeSplit/SpoofMetrics/Single/SIW_antispoof_09_10_2022_17_09_37,/home/jarred/Documents/SavedAntispoofing/SIW_90_Baseline/BeforeSplit/CheckPoints/Single/SIW_antispoof_09_10_2022_17_09_37,/home/jarred/Documents/SavedAntispoofing/SIW_90_Baseline/BeforeSplit/Tensorboard/Single/SIW_antispoof_09_10_2022_17_09_37,/home/jarred/Documents/Datasets/SIW,SIW,siw.csv,/home/jarred/Documents/Generated/SIW_90,SIW_90.csv,90,75,<function get_siw_train_frame_func at 0x7fc6ea0bd550>,<function get_siw_protocol_frame_dic at 0x7fc6dd7fc0d0>,True,<function get_siw_stratified_name_col at 0x7fc6dd7fadc0>,<function process_siw_dataset_metrics_func at 0x7fc6dd7fae50>,<function get_siw_stratified_name_list_func at 0x7fc6dd7fad30>,3,0,1,,False,False,False,_Baseline,False,0
970c5_00001,2,0,LOO_IPP2017,9302,1593,144,80,0.08290155440414508,0.008526966531656363,0.045714260467900725,0.07716261659567968,0.9307740626853723,0.9542857395320993,2,0,LOO_IPP2017,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,3726.7656030654907,True,,,1,e491a11dcc6e456dad93993db2ad1279,2022-09-10_18-11-50,1662826310,3726.7656030654907,49853,bigboi,192.168.0.26,3726.7656030654907,0,1,0.0017540454864501953,"1_HP_AUG_PER=0,HP_COMB=A_ASUS-IP7P-SGS8_A_N,HP_REPEAT=1,current_fold=0","A@ASUS-IP7P-SGS8,A@N",False,70,/home/jarred/Documents/SavedAntispoofing/SIW_90_Baseline/BeforeSplit/SpoofMetrics/Single/SIW_antispoof_09_10_2022_17_09_37,/home/jarred/Documents/SavedAntispoofing/SIW_90_Baseline/BeforeSplit/CheckPoints/Single/SIW_antispoof_09_10_2022_17_09_37,/home/jarred/Documents/SavedAntispoofing/SIW_90_Baseline/BeforeSplit/Tensorboard/Single/SIW_antispoof_09_10_2022_17_09_37,/home/jarred/Documents/Datasets/SIW,SIW,siw.csv,/home/jarred/Documents/Generated/SIW_90,SIW_90.csv,90,75,<function get_siw_train_frame_func at 0x7fc6ea0bd550>,<function get_siw_protocol_frame_dic at 0x7fc6dd7fc0d0>,True,<function get_siw_stratified_name_col at 0x7fc6dd7fadc0>,<function process_siw_dataset_metrics_func at 0x7fc6dd7fae50>,<function get_siw_stratified_name_list_func at 0x7fc6dd7fad30>,3,0,1,,False,False,False,_Baseline,False,0
970c5_00002,2,0,LOO_IP7P,9131,1772,0,251,0.0,0.02675335749307184,0.01337667874653592,0.026056264922661682,1.0260562649226617,0.9866233212534641,2,0,LOO_IP7P,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,3582.388335943222,True,,,1,06357dd3aa7045328172e6430be70ca6,2022-09-10_18-09-26,1662826166,3582.388335943222,49855,bigboi,192.168.0.26,3582.388335943222,0,1,0.0019330978393554688,"2_HP_AUG_PER=0,HP_COMB=A_ASUS-IPP2017-SGS8_A_N,HP_REPEAT=1,current_fold=0","A@ASUS-IPP2017-SGS8,A@N",False,70,/home/jarred/Documents/SavedAntispoofing/SIW_90_Baseline/BeforeSplit/SpoofMetrics/Single/SIW_antispoof_09_10_2022_17_09_37,/home/jarred/Documents/SavedAntispoofing/SIW_90_Baseline/BeforeSplit/CheckPoints/Single/SIW_antispoof_09_10_2022_17_09_37,/home/jarred/Documents/SavedAntispoofing/SIW_90_Baseline/BeforeSplit/Tensorboard/Single/SIW_antispoof_09_10_2022_17_09_37,/home/jarred/Documents/Datasets/SIW,SIW,siw.csv,/home/jarred/Documents/Generated/SIW_90,SIW_90.csv,90,75,<function get_siw_train_frame_func at 0x7fc6ea0bd550>,<function get_siw_protocol_frame_dic at 0x7fc6dd7fc0d0>,True,<function get_siw_stratified_name_col at 0x7fc6dd7fadc0>,<function process_siw_dataset_metrics_func at 0x7fc6dd7fae50>,<function get_siw_stratified_name_list_func at 0x7fc6dd7fad30>,3,0,1,,False,False,False,_Baseline,False,0
970c5_00003,2,0,LOO_ASUS,9320,1248,108,62,0.07964601769911504,0.006608399062033681,0.043127208380574364,0.07422481403800116,0.931933776254879,0.9568727916194256,2,0,LOO_ASUS,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,5604.851411342621,True,,,1,e673d5fd719e49dd9e3d8dbbc200ffad,2022-09-10_18-43-08,1662828188,5604.851411342621,49857,bigboi,192.168.0.26,5604.851411342621,0,1,0.001558065414428711,"3_HP_AUG_PER=0,HP_COMB=A_IP7P-IPP2017-SGS8_A_N,HP_REPEAT=1,current_fold=0","A@IP7P-IPP2017-SGS8,A@N",False,70,/home/jarred/Documents/SavedAntispoofing/SIW_90_Baseline/BeforeSplit/SpoofMetrics/Single/SIW_antispoof_09_10_2022_17_09_37,/home/jarred/Documents/SavedAntispoofing/SIW_90_Baseline/BeforeSplit/CheckPoints/Single/SIW_antispoof_09_10_2022_17_09_37,/home/jarred/Documents/SavedAntispoofing/SIW_90_Baseline/BeforeSplit/Tensorboard/Single/SIW_antispoof_09_10_2022_17_09_37,/home/jarred/Documents/Datasets/SIW,SIW,siw.csv,/home/jarred/Documents/Generated/SIW_90,SIW_90.csv,90,75,<function get_siw_train_frame_func at 0x7fc6ea0bd550>,<function get_siw_protocol_frame_dic at 0x7fc6dd7fc0d0>,True,<function get_siw_stratified_name_col at 0x7fc6dd7fadc0>,<function process_siw_dataset_metrics_func at 0x7fc6dd7fae50>,<function get_siw_stratified_name_list_func at 0x7fc6dd7fad30>,3,0,1,,False,False,False,_Baseline,False,0
970c5_00004,3,0,UnKnown_R,9366,3966,1799,16,0.3120555073720728,0.0017053933063312726,0.15688045033920206,0.23814666326379802,0.7631548158508485,0.8431195496607979,3,0,UnKnown_R,8,10,4,0,0.2857142857142857,0.0,0.14285714285714285,0.22222222222222224,0.7777777777777778,0.8571428571428572,4553.273763418198,True,,,1,267408e1696a4ad8bd6c71d470e148fd,2022-09-10_18-25-36,1662827136,4553.273763418198,49859,bigboi,192.168.0.26,4553.273763418198,0,1,0.0017397403717041016,"4_HP_AUG_PER=0,HP_COMB=A_P_A_N,HP_REPEAT=1,current_fold=0","A@P,A@N",False,70,/home/jarred/Documents/SavedAntispoofing/SIW_90_Baseline/BeforeSplit/SpoofMetrics/Single/SIW_antispoof_09_10_2022_17_09_37,/home/jarred/Documents/SavedAntispoofing/SIW_90_Baseline/BeforeSplit/CheckPoints/Single/SIW_antispoof_09_10_2022_17_09_37,/home/jarred/Documents/SavedAntispoofing/SIW_90_Baseline/BeforeSplit/Tensorboard/Single/SIW_antispoof_09_10_2022_17_09_37,/home/jarred/Documents/Datasets/SIW,SIW,siw.csv,/home/jarred/Documents/Generated/SIW_90,SIW_90.csv,90,75,<function get_siw_train_frame_func at 0x7fc6ea0bd550>,<function get_siw_protocol_frame_dic at 0x7fc6dd7fc0d0>,True,<function get_siw_stratified_name_col at 0x7fc6dd7fadc0>,<function process_siw_dataset_metrics_func at 0x7fc6dd7fae50>,<function get_siw_stratified_name_list_func at 0x7fc6dd7fad30>,3,0,1,,False,False,False,_Baseline,False,0
970c5_00005,3,0,UnKnown_P,9362,2128,73,20,0.033166742389822805,0.002131741632914091,0.017649242011368447,0.03216839618972603,0.9698991782683177,0.9823507579886316,3,0,UnKnown_P,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,4650.909294366837,True,,,1,12261b1a7a0645a18f72254e3ef29356,2022-09-10_18-27-14,1662827234,4650.909294366837,49861,bigboi,192.168.0.26,4650.909294366837,0,1,0.0018455982208251953,"5_HP_AUG_PER=0,HP_COMB=A_R_A_N,HP_REPEAT=1,current_fold=0","A@R,A@N",False,70,/home/jarred/Documents/SavedAntispoofing/SIW_90_Baseline/BeforeSplit/SpoofMetrics/Single/SIW_antispoof_09_10_2022_17_09_37,/home/jarred/Documents/SavedAntispoofing/SIW_90_Baseline/BeforeSplit/CheckPoints/Single/SIW_antispoof_09_10_2022_17_09_37,/home/jarred/Documents/SavedAntispoofing/SIW_90_Baseline/BeforeSplit/Tensorboard/Single/SIW_antispoof_09_10_2022_17_09_37,/home/jarred/Documents/Datasets/SIW,SIW,siw.csv,/home/jarred/Documents/Generated/SIW_90,SIW_90.csv,90,75,<function get_siw_train_frame_func at 0x7fc6ea0bd550>,<function get_siw_protocol_frame_dic at 0x7fc6dd7fc0d0>,True,<function get_siw_stratified_name_col at 0x7fc6dd7fadc0>,<function process_siw_dataset_metrics_func at 0x7fc6dd7fae50>,<function get_siw_stratified_name_list_func at 0x7fc6dd7fad30>,3,0,1,,False,False,False,_Baseline,False,0
970c5_00006,2,0,LOO_SGS8,9188,900,0,194,0.0,0.02067789383926668,0.01033894691963334,0.020258980785296574,1.0202589807852966,0.9896610530803667,2,0,LOO_SGS8,8,2,0,0,0.0,0.0,0.0,0.0,1.0,1.0,4250.235063076019,True,,,1,1ed790610f214eaf8e60e356d0c2e7cb,2022-09-10_18-20-33,1662826833,4250.235063076019,49863,bigboi,192.168.0.26,4250.235063076019,0,1,0.0015380382537841797,"6_HP_AUG_PER=0,HP_COMB=A_ASUS-IP7P-IPP2017_A_N,HP_REPEAT=2,current_fold=0","A@ASUS-IP7P-IPP2017,A@N",False,70,/home/jarred/Documents/SavedAntispoofing/SIW_90_Baseline/BeforeSplit/SpoofMetrics/Single/SIW_antispoof_09_10_2022_17_09_37,/home/jarred/Documents/SavedAntispoofing/SIW_90_Baseline/BeforeSplit/CheckPoints/Single/SIW_antispoof_09_10_2022_17_09_37,/home/jarred/Documents/SavedAntispoofing/SIW_90_Baseline/BeforeSplit/Tensorboard/Single/SIW_antispoof_09_10_2022_17_09_37,/home/jarred/Documents/Datasets/SIW,SIW,siw.csv,/home/jarred/Documents/Generated/SIW_90,SIW_90.csv,90,75,<function get_siw_train_frame_func at 0x7fc6ea0bd550>,<function get_siw_protocol_frame_dic at 0x7fc6dd7fc0d0>,True,<function get_siw_stratified_name_col at 0x7fc6dd7fadc0>,<function process_siw_dataset_metrics_func at 0x7fc6dd7fae50>,<function get_siw_stratified_name_list_func at 0x7fc6dd7fad30>,3,0,2,,False,False,False,_Baseline,False,0
970c5_00007,2,0,LOO_IPP2017,9306,1586,151,76,0.08693149107656879,0.008100618205073545,0.04751605464082117,0.08057935053822303,0.9269293502310758,0.9524839453591788,2,0,LOO_IPP2017,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,4602.257655382156,True,,,1,03861444a6f742e7921b6fec2f9ea819,2022-09-10_18-26-25,1662827185,4602.257655382156,49865,bigboi,192.168.0.26,4602.257655382156,0,1,0.002142667770385742,"7_HP_AUG_PER=0,HP_COMB=A_ASUS-IP7P-SGS8_A_N,HP_REPEAT=2,current_fold=0","A@ASUS-IP7P-SGS8,A@N",False,70,/home/jarred/Documents/SavedAntispoofing/SIW_90_Baseline/BeforeSplit/SpoofMetrics/Single/SIW_antispoof_09_10_2022_17_09_37,/home/jarred/Documents/SavedAntispoofing/SIW_90_Baseline/BeforeSplit/CheckPoints/Single/SIW_antispoof_09_10_2022_17_09_37,/home/jarred/Documents/SavedAntispoofing/SIW_90_Baseline/BeforeSplit/Tensorboard/Single/SIW_antispoof_09_10_2022_17_09_37,/home/jarred/Documents/Datasets/SIW,SIW,siw.csv,/home/jarred/Documents/Generated/SIW_90,SIW_90.csv,90,75,<function get_siw_train_frame_func at 0x7fc6ea0bd550>,<function get_siw_protocol_frame_dic at 0x7fc6dd7fc0d0>,True,<function get_siw_stratified_name_col at 0x7fc6dd7fadc0>,<function process_siw_dataset_metrics_func at 0x7fc6dd7fae50>,<function get_siw_stratified_name_list_func at 0x7fc6dd7fad30>,3,0,2,,False,False,False,_Baseline,False,0
970c5_00008,2,0,LOO_IP7P,8899,1772,0,483,0.0,0.05148156043487529,0.025740780217437646,0.048960973137354286,1.0489609731373544,0.9742592197825624,2,0,LOO_IP7P,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,5112.219541788101,True,,,1,8f7b399008024ec695b5388d637f295a,2022-09-10_19-34-43,1662831283,5112.219541788101,170607,bigboi,192.168.0.26,5112.219541788101,0,1,0.016398906707763672,"8_HP_AUG_PER=0,HP_COMB=A_ASUS-IPP2017-SGS8_A_N,HP_REPEAT=2,current_fold=0","A@ASUS-IPP2017-SGS8,A@N",False,70,/home/jarred/Documents/SavedAntispoofing/SIW_90_Baseline/BeforeSplit/SpoofMetrics/Single/SIW_antispoof_09_10_2022_17_09_37,/home/jarred/Documents/SavedAntispoofing/SIW_90_Baseline/BeforeSplit/CheckPoints/Single/SIW_antispoof_09_10_2022_17_09_37,/home/jarred/Documents/SavedAntispoofing/SIW_90_Baseline/BeforeSplit/Tensorboard/Single/SIW_antispoof_09_10_2022_17_09_37,/home/jarred/Documents/Datasets/SIW,SIW,siw.csv,/home/jarred/Documents/Generated/SIW_90,SIW_90.csv,90,75,<function get_siw_train_frame_func at 0x7fc6ea0bd550>,<function get_siw_protocol_frame_dic at 0x7fc6dd7fc0d0>,True,<function get_siw_stratified_name_col at 0x7fc6dd7fadc0>,<function process_siw_dataset_metrics_func at 0x7fc6dd7fae50>,<function get_siw_stratified_name_list_func at 0x7fc6dd7fad30>,3,0,2,,False,False,False,_Baseline,False,0
970c5_00009,2,0,LOO_ASUS,9364,1213,143,18,0.10545722713864307,0.0019185674696226818,0.05368789730413288,0.09556278451565296,0.90617577484773,0.9463121026958672,2,0,LOO_ASUS,8,4,0,0,0.0,0.0,0.0,0.0,1.0,1.0,4044.8238196372986,True,,,1,8bcd2b87b5ad467c81b27ec3d9a8d5eb,2022-09-10_19-19-17,1662830357,4044.8238196372986,175679,bigboi,192.168.0.26,4044.8238196372986,0,1,0.0022058486938476562,"9_HP_AUG_PER=0,HP_COMB=A_IP7P-IPP2017-SGS8_A_N,HP_REPEAT=2,current_fold=0","A@IP7P-IPP2017-SGS8,A@N",False,70,/home/jarred/Documents/SavedAntispoofing/SIW_90_Baseline/BeforeSplit/SpoofMetrics/Single/SIW_antispoof_09_10_2022_17_09_37,/home/jarred/Documents/SavedAntispoofing/SIW_90_Baseline/BeforeSplit/CheckPoints/Single/SIW_antispoof_09_10_2022_17_09_37,/home/jarred/Documents/SavedAntispoofing/SIW_90_Baseline/BeforeSplit/Tensorboard/Single/SIW_antispoof_09_10_2022_17_09_37,/home/jarred/Documents/Datasets/SIW,SIW,siw.csv,/home/jarred/Documents/Generated/SIW_90,SIW_90.csv,90,75,<function get_siw_train_frame_func at 0x7fc6ea0bd550>,<function get_siw_protocol_frame_dic at 0x7fc6dd7fc0d0>,True,<function get_siw_stratified_name_col at 0x7fc6dd7fadc0>,<function process_siw_dataset_metrics_func at 0x7fc6dd7fae50>,<function get_siw_stratified_name_list_func at 0x7fc6dd7fad30>,3,0,2,,False,False,False,_Baseline,False,0
970c5_00010,3,0,UnKnown_R,9361,4065,1700,21,0.2948829141370338,0.0022383287145597954,0.14856062142579682,0.22812373753973417,0.7736078511272528,0.8514393785742032,3,0,UnKnown_R,8,10,4,0,0.2857142857142857,0.0,0.14285714285714285,0.22222222222222224,0.7777777777777778,0.8571428571428572,3625.8728516101837,True,,,1,ce0cb24ba44e4ae19bfd2464e3e8e2d2,2022-09-10_19-21-03,1662830463,3625.8728516101837,193660,bigboi,192.168.0.26,3625.8728516101837,0,1,0.002355337142944336,"10_HP_AUG_PER=0,HP_COMB=A_P_A_N,HP_REPEAT=2,current_fold=0","A@P,A@N",False,70,/home/jarred/Documents/SavedAntispoofing/SIW_90_Baseline/BeforeSplit/SpoofMetrics/Single/SIW_antispoof_09_10_2022_17_09_37,/home/jarred/Documents/SavedAntispoofing/SIW_90_Baseline/BeforeSplit/CheckPoints/Single/SIW_antispoof_09_10_2022_17_09_37,/home/jarred/Documents/SavedAntispoofing/SIW_90_Baseline/BeforeSplit/Tensorboard/Single/SIW_antispoof_09_10_2022_17_09_37,/home/jarred/Documents/Datasets/SIW,SIW,siw.csv,/home/jarred/Documents/Generated/SIW_90,SIW_90.csv,90,75,<function get_siw_train_frame_func at 0x7fc6ea0bd550>,<function get_siw_protocol_frame_dic at 0x7fc6dd7fc0d0>,True,<function get_siw_stratified_name_col at 0x7fc6dd7fadc0>,<function process_siw_dataset_metrics_func at 0x7fc6dd7fae50>,<function get_siw_stratified_name_list_func at 0x7fc6dd7fad30>,3,0,2,,False,False,False,_Baseline,False,0
